+====================================+====================================+=================================================================================+
| Launch Setup Clock                 | Launch Hold Clock                  | Pin                                                                             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[13]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[14]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[15]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[12]/R             |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[7]/R              |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[6]/R              |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[4]/R              |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/s_product_sr_reg[5]/R              |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/u_pmu/main_proc.v_product_201/RSTB       |
| clk_out1_cadc_system_clk_wiz_0_0   | clk_out1_cadc_system_clk_wiz_0_0   | cadc_system_i/cadc_top_0/U0/u_cadc_top/s_io_out_sr_reg[6]/R                     |
